Approved Symbol	Synonyms	UniProt ID(supplied by UniProt)
A1BG		P04217
A2M	FWP007, S863-7, CPAMD5	P01023
A2MP1		
NATP	NATP1	
SERPINA3	ACT, alpha-1-antichymotrypsin	P01011
AADAC	DAC, CES5A1	P22760
AAMP		Q13685
AANAT	SNAT	Q16613
AARS		P49588
AATK	AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	Q6ZMQ8
AAVS1	AAV	
ABAT	GABAT	P80404
ABCA1	TGD	O95477
ABCA10	EST698739	Q8WWZ4
ABCA11P	EST1133530, FLJ14297	Q4W5N1
ABCA2		Q9BZC7
ABCA3	ABC-C, EST111653, LBM180	Q99758
ABCA4	FFM, ARMD2, CORD3	P78363
ABCA5	EST90625	Q8WWZ7
ABCA6	EST155051	Q8N139
ABCA7	ABCX	Q8IZY2
ABCA8	KIAA0822	O94911
ABCA9	EST640918	Q8IUA7
ABCB1	P-gp, CD243, GP170, ABC20	P08183
ABCB10	EST20237, M-ABC2, MTABC2	Q9NRK6
ABCB11	ABC16, SPGP, PFIC-2, PGY4	O95342
TAP1	PSF1, RING4, D6S114E	Q03518
TAP2	PSF2, RING11, D6S217E	Q03519
ABCB4	MDR2, PFIC-3, GBD1	P21439
ABCB5	EST422562, ABCB5beta, ABCB5alpha	Q2M3G0
ABCB6	EST45597, umat, MTABC3	Q9NP58
ABCB7	EST140535, Atm1p, ASAT	O75027
ABCB8	EST328128, M-ABC1, MABC1	Q9NUT2
ABCB9	EST122234	Q9NP78
ABCC1	GS-X	P33527
ABCC10	EST182763, MRP7, SIMRP7	Q5T3U5
ABCC2	DJS, MRP2, cMRP	Q92887
ABCC3	MRP3, cMOAT2, EST90757, MLP2, MOAT-D	O15438
ABCC4	MRP4, EST170205, MOAT-B, MOATB	O15439
ABCC5	MRP5, SMRP, EST277145, MOAT-C	O15440
ABCC6	MRP6, EST349056, MLP1, URG7	O95255
ABCC8	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	Q09428
ABCC9	SUR2, CMD1O	O60706
ABCD1	AMN, ALDP, adrenoleukodystrophy	P33897
ABCD1P1		
ABCD1P2	bA453N3.6	
ABCD1P3		
ABCD1P4		
ABCD2	ALDR, ALDRP	Q9UBJ2
ABCD3	PMP70, ZWS2	P28288
ABCD4	PMP69, P70R, EST352188	O14678
ABCE1	RLI, OABP	P61221
ABCF1	EST123147	Q8NE71
ABCF2	EST133090, ABC28, M-ABC1, HUSSY-18	Q9UG63
ABCF3	EST201864	Q9NUQ8
ABCG1	ABC8	P45844
ABCG2	EST157481, MXR, BCRP, ABCP, CD338	Q9UNQ0
ABL1	JTK7, c-ABL, p150	P00519
ABL2	ARG	P42684
ABLIM1	abLIM, limatin	O14639
ABO	A3GALNT, A3GALT1	P16442
AOC1	DAO	P19801
ABR	MDB	Q12979
ACAA1		P09110
ACAA2	DSAEC	P42765
ACACA	ACC1	Q13085
ACACB	HACC275, ACC2, ACCB	O00763
ACAD8		Q9UKU7
ACADL	LCAD, ACAD4	P28330
ACADM	MCAD, MCADH, ACAD1	P11310
ACADS	SCAD, ACAD3	P16219
ACADSB	SBCAD, ACAD7	P45954
ACADVL	VLCAD, LCACD, ACAD6	P49748
ACAT1	THIL	P24752
ACAT2		Q9BWD1
SLC33A1	AT-1, AT1	O00400
ASIC2	ASIC2a, BNC1, BNaC1, hBNaC1, MDEG	Q16515
ASIC1	BNaC2, hBNaC2	P78348
ASIC3	TNaC1, DRASIC	Q9UHC3
CNNM1		Q9NRU3
CNNM2		Q9H8M5
CNNM3		Q8NE01
CNNM4	KIAA1592	Q6P4Q7
ACHE		P22303
ACLS		
ACLY	ATPCL, CLATP, ACL	P53396
ACO1	IRP1, IREBP	P21399
ACO2	ACONM	Q99798
ACOX1	PALMCOX	Q15067
ACOX2	BRCACOX, BRCOX, THCCox	Q99424
ACOX3		O15254
ACP1		P24666
ACP2		P11117
ACP5	TRAP	P13686
ACPP	ACP3, ACP-3	P15309
ACR		P10323
ACRV1	SPACA2, SP-10, D11S4365	P26436
ACTA1	NEM3	P68133
ACTA2	ACTSA	P62736
ACTB		P60709
POTEH	POTE22, CT104.7	Q6S545
ACTBP1		
ACTBP2		
ACTBP3		
ACTBP4		
ACTBP6		
ACTBP7		
ACTBP8	ACTBP2	
ACTBP9		
ACTC1	CMD1R	P68032
ACTG1		P63261
ACTG2	ACTSG	P63267
ACTG1P1		
ACTG1P2		
ACTG1P3		
ACTG1P4		
ACTBP12		
ACTG1P6		
ACTG1P7		
ACTG1P8		
ACTG1P9		
ACTG1P10		
ACTL6B	BAF53B	O94805
ACTL7A		Q9Y615
ACTL7B	Tact1	Q9Y614
ACTN1		P12814
ACTN2		P35609
ACTN3		Q08043
ACTN4		O43707
ACTR1A	ARP1	P61163
ACTR1B		P42025
ACTR2	ARP2	P61160
ACTR3	ARP3	P61158
ACVR1	SKR1, ALK2, ACVR1A	Q04771
ACVR1B	ALK4, SKR2, ActRIB	P36896
ACVR2A	ACTRII	P27037
ACVR2B	ActR-IIB	Q13705
ACVRL1	HHT2, ALK1, HHT	P37023
ACY1		Q03154
ACYP1		P07311
ACYP2		P14621
AD5		
ADA		P00813
ADAM1A	FTNAP, PH-30a, Ftna, ADAM1P	
ADAM10	kuz, MADM, HsT18717, CD156c	O14672
ADAM11		O75078
ADAM12	MCMPMltna, MLTN	O43184
ADAM15	MDC15	Q13444
ADAM17	cSVP, CD156B	P78536
ADAM18	tMDCIII, ADAM27	Q9Y3Q7
ADAM19	MLTNB	Q9H013
ADAM2	PH-30b, PH30, CT15	Q99965
ADAM20		O43506
ADAM21	ADAM31	Q9UKJ8
ADAM22	MDC2	Q9P0K1
ADAM23	MDC3	O75077
ADAM24P		
ADAM28	eMDCII, MDC-Lm, MDC-Ls, ADAM23	Q9UKQ2
ADAM29	svph1, CT73	Q9UKF5
ADAM30	svph4	Q9UKF2
ADAM3A	ADAM3, tMDCI	
ADAM3B		
ADAM5	tMDCII	Q6NVV9
ADAM6	tMDCIV	
ADAM7	GP-83, EAPI	Q9H2U9
ADAM8	CD156, MS2, CD156a	P78325
ADAM9	MDC9, KIAA0021, MCMP, Mltng	Q13443
ADAMTS1	C3-C5, METH1, KIAA1346	Q9UHI8
ADAMTS2	ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI	O95450
ADAMTS3	KIAA0366, ADAMTS-4	O15072
ADAMTS4	KIAA0688, ADAMTS-2, ADMP-1	O75173
ADAMTS5	ADMP-2, ADAMTS11	Q9UNA0
ADAMTS6	ADAM-TS6	Q9UKP5
ADAMTS7	ADAM-TS7, DKFZp434H204	Q9UKP4
ADAMTS8	METH2, FLJ41712, ADAM-TS8	Q9UP79
ADAR	ADAR1	P55265
ADARB1	ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d	P78563
ADARB2	RED2, hRED2, ADAR3	Q9NS39
ADAT1		Q9BUB4
ADCP1		
ADCY1	AC1	Q08828
ADCY2	HBAC2, KIAA1060, AC2	Q08462
ADCY3	AC3	O60266
ADCY4	AC4	Q8NFM4
ADCY5	AC5	O95622
ADCY6	AC6	O43306
ADCY7	KIAA0037, AC7	P51828
ADCY8	HBAC1, AC8	P40145
ADCY9	AC9	O60503
ADCYAP1	PACAP	P18509
ADCYAP1R1	PAC1, PACAPR, PAC1R	P41586
ADD1		P35611
ADD2	ADDB	P35612
ADD3		Q9UEY8
ADFN		
PLIN2	ADRP	Q99541
ADH1A		P07327
ADH1B		P00325
ADH1C		P00326
ADH4	ADH-2	P08319
ADH5	ADH-3, ADHX	P11766
ADH6	ADH-5	P28332
ADH7	ADH-4	P40394
ADK	AK	P55263
ADM	AM	P35318
ADORA1	RDC7	P30542
ADORA2A	RDC8	P29274
ADORA2B		P29275
ADORA2BP1		
ADORA3	AD026	P33765
ADPRH	ARH1	P54922
PARP1	PARP	P09874
PARP4	VAULT3, p193, VPARP, VWA5C	Q9UKK3
PARP2		Q9UGN5
PARP3	ADPRT3, IRT1, hPARP-3, pADPRT-3	Q9Y6F1
PARP4P3		
PARP1P1		
PARP1P2		
ADRA1A	ADRA1L1	P35348
ADRA1B		P35368
ADRA1D	ADRA1R, ADRA1A, ADRA1	P25100
ADRA2A	ADRAR	P08913
ADRA2B	ADRARL1	P18089
